size,rooms,age,price
17.9,4,26,113.7
23.0,5,7,173.3
20.7,3,30,80.6
10.3,4,30,59.2
11.7,2,29,47.3
22.6,4,18,147.5
6.1,2,15,22.0
21.6,1,17,90.6
21.1,4,1,138.9
14.9,3,34,81.2
11.8,2,22,49.5
11.3,1,16,51.5
10.8,2,22,41.3
14.5,5,29,93.3
15.6,3,15,115.9
16.5,5,33,114.8
24.9,5,37,119.4
21.1,5,15,135.4
17.8,1,6,66.7
24.8,1,30,69.7
10.1,3,40,44.9
9.0,2,6,77.0
17.6,5,29,113.2
6.8,2,33,17.4
6.7,1,37,8.8
15.8,1,5,84.4
14.9,2,4,114.2
23.4,4,40,122.6
18.0,1,5,89.9
15.8,4,7,117.7
15.4,2,23,70.9
10.7,2,18,57.8
6.2,4,30,54.7
9.7,5,8,121.4
19.1,3,37,64.3
9.8,4,9,113.2
13.0,2,31,51.3
6.1,1,3,61.8
21.8,5,19,139.7
8.9,4,1,106.5
11.1,4,13,92.4
22.7,5,12,152.3
15.7,3,29,72.0
22.1,1,18,87.1
18.2,3,2,126.5
20.1,3,40,59.0
7.7,2,36,29.9
16.3,4,37,67.3
15.6,2,10,84.4
22.6,4,16,130.3
12.9,4,9,90.3
17.4,1,5,90.8
7.1,3,1,96.6
13.4,4,20,98.3
12.1,1,5,68.7
8.9,4,7,101.7
21.5,5,34,106.8
13.2,5,19,112.9
24.6,4,7,146.7
17.2,5,27,117.2
17.5,2,11,81.6
18.1,2,21,85.6
18.9,1,11,86.9
8.9,4,21,83.5
14.4,2,25,60.4
10.6,5,21,111.9
13.6,3,16,71.8
7.8,5,32,85.9
24.4,1,35,68.6
10.1,1,7,68.2
18.8,2,5,113.5
11.7,1,5,64.8
22.6,3,39,81.2
18.6,4,38,96.4
8.5,4,9,107.2
22.1,2,39,70.3
24.0,1,8,86.8
23.2,3,20,121.1
16.8,4,20,124.4
8.8,5,37,88.0
9.7,5,2,133.9
23.6,2,13,92.6
16.5,1,24,69.8
9.4,2,3,81.9
22.8,5,9,129.5
18.2,3,19,105.6
16.8,5,35,85.0
13.1,4,30,68.7
13.8,3,33,59.3
10.6,1,30,47.1
6.7,3,28,48.6
22.6,2,34,80.1
14.9,5,27,130.2
16.4,1,29,69.8
12.1,1,12,62.1
20.3,4,7,137.5
6.5,4,30,49.4
13.1,5,7,125.5
6.6,3,37,44.4
8.3,2,24,53.6
24.4,2,13,115.0
18.5,2,37,71.9
14.1,4,6,114.0
16.0,3,21,90.8
22.6,2,4,130.6
12.5,2,39,46.0
17.2,4,23,120.0
19.0,2,32,73.8
12.8,2,11,78.2
15.9,2,32,64.0
20.5,5,28,112.5
23.3,3,26,86.2
8.9,3,38,51.7
23.7,1,17,89.9
6.1,2,17,56.5
20.3,4,28,88.5
21.4,4,33,100.3
8.6,3,13,74.1
14.0,5,27,96.1
21.5,2,8,85.4
6.3,1,22,26.9
17.9,1,31,63.0
21.1,1,3,108.4
15.7,4,29,86.4
19.8,5,1,162.7
10.3,1,38,28.0
9.8,3,19,42.8
12.9,1,16,58.2
9.4,5,29,96.2
12.6,1,21,59.5
24.0,4,29,138.9
16.9,1,3,104.8
12.5,4,23,96.8
11.2,5,22,109.2
24.1,4,37,116.2
14.4,2,2,93.7
24.6,5,18,151.3
15.8,2,25,80.8
15.9,4,22,128.2
23.0,5,3,167.6
20.1,3,24,98.7
17.0,4,9,129.9
14.1,5,8,151.4
22.7,1,35,60.2
13.8,1,8,92.0
23.5,3,18,106.9
7.3,1,30,19.7
14.2,5,28,103.2
15.9,5,22,129.1
24.1,2,32,96.8
10.8,2,19,45.8
21.3,4,25,105.4
18.9,3,33,86.2
19.6,1,27,55.4
18.0,4,26,86.7
24.5,4,16,152.0
12.3,1,22,54.8
13.6,4,16,112.7
9.9,3,30,54.0
7.0,5,15,115.8
10.0,5,19,103.6
23.4,4,30,128.4
22.0,2,20,85.1
8.1,2,14,53.1
17.5,4,33,95.5
15.1,1,15,59.4
17.3,2,34,69.0
18.5,3,31,87.1
11.8,5,18,102.3
24.3,4,29,120.3
14.9,5,1,144.0
17.9,1,16,85.7
18.1,2,34,55.7
9.5,2,23,48.7
7.2,4,22,93.1
13.8,3,27,102.8
20.5,2,27,105.0
21.5,4,23,120.8
19.9,4,17,126.8
8.2,5,7,137.5
23.4,3,12,125.7
21.2,1,12,78.9
22.7,5,17,149.0
15.9,1,40,38.1
23.4,1,14,84.3
6.9,4,18,63.9
6.6,3,15,55.1
6.4,4,23,82.7
10.8,1,38,11.3
10.7,4,36,66.4
9.6,3,15,83.9
16.8,5,11,146.3
6.7,4,35,53.6
17.2,5,20,132.6
9.2,4,27,66.4
18.9,5,3,152.9
6.4,1,35,-0.6
11.9,4,13,119.8
23.8,4,20,131.1
16.2,2,8,87.7
